Date,Pos,Player,Injury,NFL Status,Fantasy News
01/04/15,DE,Ezekiel Ansah,TOE,PROBABLE,
01/04/15,DT,Nick Fairley,KNEE,DOUBTFUL,Missed Wild Card game at Dallas
01/04/15,WR,Calvin Johnson,ANKLE,PROBABLE,
01/04/15,DE,Darryl Tapp,NOT INJURY RELATED,PROBABLE,
12/28/14,RB,Joique Bell,ACHILLES,PROBABLE,
12/21/14,S,Don Carey,ANKLE,PROBABLE,
12/21/14,DE,George Johnson,ILLNESS,PROBABLE,
12/21/14,DT,C.J. Mosley,NOT INJURY RELATED,PROBABLE,
12/21/14,LB,Ashlee Palmer,QUADRICEPS,PROBABLE,
12/21/14,G,Rob Sims,ILLNESS,PROBABLE,
12/17/14,T,LaAdrian Waddle,LEFT KNEE,&nbsp;,
12/14/14,RB,Reggie Bush,ANKLE,QUESTIONABLE,
12/14/14,LB,Josh Bynes,ILLNESS,PROBABLE,
12/14/14,S,James Ihedigbo,ILLNESS,PROBABLE,
12/14/14,CB,Darius Slay,SHOULDER,PROBABLE,
12/14/14,DT,Ndamukong Suh,ILLNESS,PROBABLE,One-game suspension
12/14/14,LB,Tahir Whitehead,SHOULDER,QUESTIONABLE,
12/07/14,T,Riley Reiff,KNEE,PROBABLE,
12/07/14,RB,Theo Riddick,TOE,PROBABLE,
11/27/14,CB,Rashean Mathis,ANKLE,PROBABLE,
11/27/14,S,Glover Quin,BACK,PROBABLE,
11/23/14,DE,Jason Jones,NOT INJURY RELATED,PROBABLE,
11/23/14,TE,Brandon Pettigrew,FOOT,PROBABLE,
11/23/14,WR,Golden Tate,HIP,PROBABLE,
11/16/14,TE,Eric Ebron,HAMSTRING,PROBABLE,
11/16/14,C,Don Muhlbach,ANKLE,PROBABLE,
11/16/14,DE,Devin Taylor,KNEE,PROBABLE,
10/19/14,WR,Jeremy Ross,ANKLE,PROBABLE,
10/12/14,S,Jerome Couplin,RIBS,PROBABLE,
10/12/14,CB,Cassius Vaughn,ANKLE,PROBABLE,
09/08/14,DT,Caraun Reid,SHOULDER,PROBABLE,
Date,Pos,Player,Injury,NFL Status,Fantasy News
01/18/15,DT,Josh Boyd,ANKLE,PROBABLE,
01/18/15,RB,Eddie Lacy,KNEE,PROBABLE,
01/18/15,QB,Aaron Rodgers,CALF,PROBABLE,
01/18/15,G,Josh Sitton,TOE,PROBABLE,
01/11/15,CB,Davon House,SHOULDER,PROBABLE,
01/11/15,S,Sean Richardson,KNEE,QUESTIONABLE,
12/28/14,G,T.J. Lang,ANKLE,PROBABLE,
12/28/14,LB,Clay Matthews,BICEPS,PROBABLE,
12/28/14,LB,Mike Neal,ABDOMEN,PROBABLE,
12/21/14,T,Bryan Bulaga,CONCUSSION,PROBABLE,
12/21/14,LB,Nick Perry,SHOULDER,PROBABLE,
12/08/14,DT,Mike Daniels,BACK,PROBABLE,
